ID,Start time,Completion time,Email,Name,Your name(FirstName LastName),Your student ID,Your workshop class,Preferred student IDs separated by commas (max. 6 student IDs):,Platform,languages,Timezone,Preferred week days,Preferred day / nighttimes for team - work
1,-,-,s3119228@rmit.edu.au,Irene Mack,Irene Mack,s3119228,WRK6,"s3111894,s3110275,",Desktop,Java;C++;Python;,Not Important to me,-,-
2,-,-,s3118359@rmit.edu.au,Kacey Hendrix,Kacey Hendrix,s3118359,WRK5,"s3116720,s3117984,s3111617,s3119177,s3111933,",Web,Python;Java;C++;,ACWST,-,-
3,-,-,s3115143@rmit.edu.au,Mohamed Walls,Mohamed Walls,s3115143,WRK2,"s3114254,s3120661,s3112224,s3118208,",iOS,C++;Python;Java;,ACWST,-,-
4,-,-,s3118898@rmit.edu.au,Mika Jarvis,Mika Jarvis,s3118898,WRK5,"s3116072,s3109949,",Android,Python;C++;Java;,ACST,-,-
5,-,-,s3110664@rmit.edu.au,Holland Schwartz,Holland Schwartz,s3110664,WRK5,"s3112858,s3112379,",Desktop,C++;Java;Python;,AEST,-,-
6,-,-,s3114949@rmit.edu.au,Caroline Huffman,Caroline Huffman,s3114949,WRK4,"s3118951,",Android,C++;Python;Java;,ACWST,-,-
7,-,-,s3117661@rmit.edu.au,Micaela Howell,Micaela Howell,s3117661,WRK3,"s3115960,s3112834,",Android,C++;Java;Python;,AWST,-,-
8,-,-,s3119321@rmit.edu.au,Stella Fitzpatrick,Stella Fitzpatrick,s3119321,WRK1,"s3118174,",Android,Java;C++;Python;,AWST,-,-
9,-,-,s3109011@rmit.edu.au,Juston Marquez,Juston Marquez,s3109011,WRK4,"s3109867,s3114086,s3120750,s3113620,s3120621,",Web,C++;Java;Python;,AEST,-,-
10,-,-,s3113002@rmit.edu.au,Denae Hansen,Denae Hansen,s3113002,WRK4,"s3116456,",iOS,C++;Python;Java;,ACST,-,-
11,-,-,s3119098@rmit.edu.au,Lianna Nelson,Lianna Nelson,s3119098,WRK3,"s3120327,s3109351,",Android,Python;C++;Java;,AEST,-,-
12,-,-,s3110107@rmit.edu.au,Howard Gamble,Howard Gamble,s3110107,WRK4,"s3118572,",Web,Java;Python;C++;,ACST,-,-
13,-,-,s3109885@rmit.edu.au,Magen Meyer,Magen Meyer,s3109885,WRK2,"s3118359,s3118452,",iOS,C++;Java;Python;,ACST,-,-
14,-,-,s3109665@rmit.edu.au,Danial Floyd,Danial Floyd,s3109665,WRK4,"s3120370,",iOS,C++;Python;Java;,ACST,-,-
15,-,-,s3114026@rmit.edu.au,Dedrick Lowery,Dedrick Lowery,s3114026,WRK5,"s3112793,s3112087,s3118441,",Desktop,C++;Python;Java;,AWST,-,-
16,-,-,s3110643@rmit.edu.au,Roscoe Phillips,Roscoe Phillips,s3110643,WRK5,"s3114602,s3116081,s3111940,",Desktop,C++;Java;Python;,Not Important to me,-,-
17,-,-,s3112341@rmit.edu.au,Carolyn Arroyo,Carolyn Arroyo,s3112341,WRK4,"s3118920,",Web,C++;Java;Python;,ACST,-,-
18,-,-,s3110051@rmit.edu.au,Caitlyn Garcia,Caitlyn Garcia,s3110051,WRK4,"s3120432,",Android,Python;C++;Java;,ACST,-,-
19,-,-,s3111954@rmit.edu.au,Shena Garrett,Shena Garrett,s3111954,WRK4,"s3120044,s3119930,s3111559,",Android,C++;Python;Java;,Not Important to me,-,-
20,-,-,s3118031@rmit.edu.au,Keosha Lambert,Keosha Lambert,s3118031,WRK1,"s3116871,s3116033,s3109311,s3111138,s3112820,",Desktop,C++;Python;Java;,AWST,-,-
21,-,-,s3110320@rmit.edu.au,Rochel Williams,Rochel Williams,s3110320,WRK6,"s3115242,s3119784,",Android,Python;Java;C++;,AWST,-,-
22,-,-,s3109421@rmit.edu.au,Talisa Small,Talisa Small,s3109421,WRK5,"s3113934,s3115295,",Android,Python;Java;C++;,AWST,-,-
23,-,-,s3119054@rmit.edu.au,Trent Sweeney,Trent Sweeney,s3119054,WRK2,"s3110204,s3111021,s3115610,",Desktop,Java;Python;C++;,AEST,-,-
24,-,-,s3114021@rmit.edu.au,Abbie Gay,Abbie Gay,s3114021,WRK3,"s3120060,",Web,Python;Java;C++;,Not Important to me,-,-
25,-,-,s3112535@rmit.edu.au,Sherika Stewart,Sherika Stewart,s3112535,WRK4,"s3113596,s3113256,",iOS,Python;C++;Java;,AWST,-,-
26,-,-,s3120521@rmit.edu.au,Carmella Navarro,Carmella Navarro,s3120521,WRK4,"s3113946,s3114530,s3111365,",Android,Java;C++;Python;,ACST,-,-
27,-,-,s3116139@rmit.edu.au,Evangeline Mathews,Evangeline Mathews,s3116139,WRK3,"s3113087,s3113675,s3117426,",Web,C++;Python;Java;,Not Important to me,-,-
28,-,-,s3109973@rmit.edu.au,Lee Kim,Lee Kim,s3109973,WRK4,"s3113570,s3120878,",Android,C++;Java;Python;,AEST,-,-
29,-,-,s3119424@rmit.edu.au,Tiffanie Hutchinson,Tiffanie Hutchinson,s3119424,WRK6,"s3109397,s3110259,s3111418,",Desktop,Java;C++;Python;,ACST,-,-
30,-,-,s3117430@rmit.edu.au,Rosalie Walter,Rosalie Walter,s3117430,WRK3,"s3114611,s3110990,s3119138,",Android,C++;Python;Java;,AEST,-,-
31,-,-,s3116017@rmit.edu.au,Trace Cochran,Trace Cochran,s3116017,WRK5,"s3109050,s3117933,s3116153,s3119633,",Desktop,C++;Python;Java;,ACST,-,-
32,-,-,s3113971@rmit.edu.au,Buck Terrell,Buck Terrell,s3113971,WRK6,"s3120612,s3114691,s3115616,",Web,Python;Java;C++;,AEST,-,-
33,-,-,s3120343@rmit.edu.au,Christophe Byrd,Christophe Byrd,s3120343,WRK2,"s3117492,s3120701,",Desktop,Python;C++;Java;,AEST,-,-
34,-,-,s3113527@rmit.edu.au,Elena Ewing,Elena Ewing,s3113527,WRK3,"s3117588,s3115891,s3120487,",iOS,Java;Python;C++;,AEST,-,-
35,-,-,s3113267@rmit.edu.au,Susanna Kirby,Susanna Kirby,s3113267,WRK4,"s3119494,s3110212,",Desktop,Python;C++;Java;,Not Important to me,-,-
36,-,-,s3119990@rmit.edu.au,Tiesha Hunt,Tiesha Hunt,s3119990,WRK6,"s3109236,s3117198,s3109626,",Web,C++;Java;Python;,ACWST,-,-
37,-,-,s3118380@rmit.edu.au,Simeon Berry,Simeon Berry,s3118380,WRK5,"s3110303,s3112769,s3111474,",iOS,Python;Java;C++;,AEST,-,-
38,-,-,s3109145@rmit.edu.au,Meridith Simpson,Meridith Simpson,s3109145,WRK3,"s3109557,s3115358,s3120201,",Web,Python;Java;C++;,AWST,-,-
39,-,-,s3112770@rmit.edu.au,Kristopher Cummings,Kristopher Cummings,s3112770,WRK2,"s3116244,s3114340,s3114834,s3119934,",Desktop,C++;Python;Java;,Not Important to me,-,-
40,-,-,s3116487@rmit.edu.au,Sade Benitez,Sade Benitez,s3116487,WRK5,"s3120803,s3120462,",iOS,C++;Java;Python;,AWST,-,-
41,-,-,s3111511@rmit.edu.au,Ada Riggs,Ada Riggs,s3111511,WRK3,"s3119381,s3111818,s3112775,",Desktop,C++;Python;Java;,AEST,-,-
42,-,-,s3113892@rmit.edu.au,Benita Page,Benita Page,s3113892,WRK5,"s3111173,s3118250,",iOS,Java;C++;Python;,ACST,-,-
43,-,-,s3115919@rmit.edu.au,Karis Melton,Karis Melton,s3115919,WRK1,"s3114431,s3112190,s3119021,",Desktop,Java;Python;C++;,AEST,-,-
44,-,-,s3117698@rmit.edu.au,Laronda Baird,Laronda Baird,s3117698,WRK1,"s3119302,s3119757,",Desktop,C++;Python;Java;,ACWST,-,-
45,-,-,s3112450@rmit.edu.au,Kirsten Patel,Kirsten Patel,s3112450,WRK5,"s3120801,",iOS,Java;Python;C++;,ACWST,-,-
46,-,-,s3112337@rmit.edu.au,Adan Yu,Adan Yu,s3112337,WRK6,"s3115413,s3113206,s3115649,s3114114,",Web,Java;Python;C++;,AWST,-,-
47,-,-,s3119329@rmit.edu.au,Ayesha Sexton,Ayesha Sexton,s3119329,WRK4,"s3118774,",Web,Java;C++;Python;,ACST,-,-
48,-,-,s3111178@rmit.edu.au,Lacee Gallagher,Lacee Gallagher,s3111178,WRK1,"s3118103,s3109841,",Android,Java;Python;C++;,ACST,-,-
49,-,-,s3119843@rmit.edu.au,Shiloh Nguyen,Shiloh Nguyen,s3119843,WRK6,"s3111025,s3113711,",iOS,Java;C++;Python;,AEST,-,-
50,-,-,s3119019@rmit.edu.au,Johnny Prince,Johnny Prince,s3119019,WRK1,"s3119627,s3120665,s3114796,",Desktop,Python;C++;Java;,AEST,-,-
51,-,-,s3119271@rmit.edu.au,Celia Cline,Celia Cline,s3119271,WRK1,"s3120212,s3120408,s3113394,",Android,Java;C++;Python;,ACST,-,-
